rosbagTimestamp,x,y
1413140000000,0.25,5.723705856
1413154000000,0.25,5.7330736912
1413168000000,0.25,5.7424460769
1413168000000,0.25,5.7518268119
1413181000000,0.25,5.7612038473
1413187000000,0.25,5.7705712585
1413200000000,0.25,5.7799377131
1413214000000,0.25,5.7893132744
1413227000000,0.25,5.7986920569
1413228000000,0.25,5.8080614586
1413240000000,0.25,5.8174243508
1413247000000,0.25,5.8267927875
1413258000000,0.25,5.836170184
1413272000000,0.25,5.8455428308
1413286000000,0.25,5.8549051255
1413300000000,0.25,5.8642670111
1413300000000,0.25,5.8736391528
1413312000000,0.25,5.8830120618
1413317000000,0.25,5.8923788625
1413330000000,0.25,5.9017381091
1413343000000,0.25,5.9111011034
1413357000000,0.25,5.9204730062
1413371000000,0.25,5.9298422835
1413371000000,0.25,5.9392015481
1413384000000,0.25,5.9485588134
1413387000000,0.25,5.9579249199
1413401000000,0.25,5.9672955078
1413413000000,0.25,5.9766571061
1413427000000,0.25,5.9860112484
1413428000000,0.25,5.9953700282
1413441000000,0.25,6.004738473
1413447000000,0.25,6.0141033503
1413460000000,0.25,6.023457385
1413474000000,0.25,6.032809858
1413488000000,0.25,6.0421723549
1413489000000,0.25,6.0515370269
1413502000000,0.25,6.0608960321
1413507000000,0.25,6.0702463404
1413517000000,0.25,6.079599431
1413530000000,0.25,6.0889622592
1413544000000,0.25,6.0983237991
1413558000000,0.25,6.1076747113
1413558000000,0.25,6.117022318
1413571000000,0.25,6.1263785771
1413577000000,0.25,6.135740942
1413590000000,0.25,6.1450946819
1413603000000,0.25,6.1544396962
1413616000000,0.25,6.1637883353
1413629000000,0.25,6.1731476414
1413630000000,0.25,6.1825031834
1413643000000,0.25,6.1918510678
1413647000000,0.25,6.2011946086
1413659000000,0.25,6.2105449676
1413673000000,0.25,6.2199019034
1413687000000,0.25,6.2292522668
1413700000000,0.25,6.2385939127
1413701000000,0.25,6.2479374083
1413712000000,0.25,6.2572904953
1413717000000,0.25,6.26664339
1413731000000,0.25,6.2759859018
1413744000000,0.25,6.285324311
1413759000000,0.25,6.294670606
